Sentence,Top-1 Similar,Top-2 Similar,Top-3 Similar,Top-4 Similar,Top-5 Similar,Top-1 Similarity,Top-2 Similarity,Top-3 Similarity,Top-4 Similarity,Top-5 Similarity,name,video,start,end,speaker,orth,translation,Top-1 Orth,Top-2 Orth,Top-3 Orth,Top-4 Orth,Top-5 Orth,Word_Overlap_Top_1,Word_Overlap_Top_2,Word_Overlap_Top_3,Word_Overlap_Top_4,Word_Overlap_Top_5
regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar,am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich,ganz im norden fällt hier und da schnee,heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter,der sorgt wieder für wolken die regen im bergland auch schnee bringen,am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken,0.91112125,0.90986127,0.89030707,0.88750535,0.8841732,25October_2010_Monday_tagesschau-17,25October_2010_Monday_tagesschau-17/1/*.png,-1.0,-1.0,Signer01,REGEN SCHNEE REGION VERSCHWINDEN NORD REGEN KOENNEN REGION STERN KOENNEN SEHEN,regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar,SONNTAG NORD ALPEN IX SONNE WOLKE SCHAUER SONST REGION FREUNDLICH,NORD IX SCHNEE KOENNEN,HEUTE NACHT WAHRSCHEINLICH SCHAUER IX AUCH GEWITTER,WOLKE REGEN WENN BERG IX AUCH SCHNEE SCHNEIEN,MITTWOCH MISCHUNG WOLKE NEBEL NORDWEST BISSCHEN SCHAUER REGION TROCKEN,2,3,0,2,1
am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag,ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig,in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter,ähnliches wetter auch am donnerstag,ähnliches wetter auch am donnerstag,am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter,0.88600856,0.8837504,0.88332754,0.88332754,0.88163936,25October_2010_Monday_tagesschau-24,25October_2010_Monday_tagesschau-24/1/*.png,-1.0,-1.0,Signer01,DONNERSTAG NORDWEST REGEN REGION SONNE WOLKE WECHSELHAFT DANN FREITAG AEHNLICH WETTER,am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag,SONNTAG MEHR MILD VIEL WOLKE REGEN NORDWEST WIND,MORGEN NORD WOLKE SONNE WECHSELHAFT MOEGLICH SCHAUER GEWITTER,GLEICH WETTER AUCH DONNERSTAG,GLEICH WETTER AUCH DONNERSTAG,MONTAG WECHSELHAFT MAL SONNE WOLKE BESONDERS REGION SCHAUER GEWITTER,3,3,2,2,4
vom nordmeer zieht ein kräftiges tief heran und bringt uns ab den morgenstunden heftige schneefälle zum teil auch gefrierenden regen,von westen erreicht uns ein neues atlantiktief mit zum teil kräftigen regenfällen und heftigen gewittern,atlantische tiefausläufer bringen uns die ganze woche über regenfälle und zum teil stürmische winde,das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen,und vor allem im nordwesten kann die sonne rauskommen bei einem frischen nord bis nordostwind,am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen,0.90614927,0.88413334,0.8817607,0.8714528,0.8708209,15December_2010_Wednesday_tagesschau-37,15December_2010_Wednesday_tagesschau-37/1/*.png,-1.0,-1.0,Signer05,KRAEFTIG AB MORGEN FRUEH MEISTENS SCHNEE SCHNEIEN KALT REGEN,vom nordmeer zieht ein kräftiges tief heran und bringt uns ab den morgenstunden heftige schneefälle zum teil auch gefrierenden regen,WEST KOMMEN TIEF ENORM REGEN GEWITTER,TIEF KOMMEN IN-KOMMEND IN-KOMMEND REGEN STURM,KOMMEN KRAEFTIG WAS WOCHENENDE VIEL SONNE TEMPERATUR STEIGEN,NORD KOENNEN SONNE AB-SO AUFKOMMEN,SONNTAG MEHR WIND NORDWEST WOLKE BISSCHEN REGEN,1,1,1,0,1
sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen,am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken,am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich,morgen gibt es zum teil dichte wolken oder nebel aber auch sonne vor allem im süden,und etwas kälter wird es dann im laufe des sonntags von osten,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,0.9153241,0.9117982,0.91146064,0.910647,0.9083091,10March_2011_Thursday_heute-58,10March_2011_Thursday_heute-58/1/*.png,-1.0,-1.0,Signer01,WOCHENENDE SONNE SAMSTAG SCHOEN TEMPERATUR BIS SIEBZEHN GRAD REGION,sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen,MITTWOCH MISCHUNG WOLKE NEBEL NORDWEST BISSCHEN SCHAUER REGION TROCKEN,SONNTAG NORD ALPEN IX SONNE WOLKE SCHAUER SONST REGION FREUNDLICH,MORGEN UEBERWIEGEND BEWOELKT NEBEL AUCH SUED IX SONNE,UND DANN SONNTAG IX REGION KOMMEN KALT,MORGEN REGION SONNE IX WOLKE BEWOELKT,1,2,1,1,2
deutschland liegt morgen unter hochdruckeinfluss der die wolken weitgehend vertreibt,über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert,und das mit tief ophelia das die kaltluft mit kräftigen schauern richtung mitteleuropa treibt,in den kommenden tagen bestimmt das tief über osteuropa unser wetter die kühle luft bleibt uns zunächst erhalten,deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee,morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus,0.8699459,0.85963786,0.85109645,0.8497005,0.8440961,14August_2009_Friday_tagesschau-62,14August_2009_Friday_tagesschau-62/1/*.png,-1.0,-1.0,Signer05,DEUTSCH LAND MORGEN HOCH DRUCK KOMMEN WOLKE AUFLOESEN,deutschland liegt morgen unter hochdruckeinfluss der die wolken weitgehend vertreibt,DEUTSCH LAND MORGEN HOCH DRUCK KOMMEN SONNE TROCKEN,TIEF O+P+H+E+L+I+A KALT KOMMEN MITTE EUROPA,IN-KOMMEND REGION TIEF DRUCK ENORM LUFT BLEIBEN,DEUTSCH LAND TIEF DRUCK KOMMEN IM-VERLAUF TAG BEWOELKT BISSCHEN REGEN SCHNEE SCHNEIEN,MORGEN REGEN KOMMEN WEST KOMMEN SPEZIELL BADEN WUERTTEMBERG BAYERN REGION,6,1,1,4,2
am sonntag im nordwesten eine mischung aus sonne und wolken mit einigen zum teil gewittrigen schauern,in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer,im osten und südosten neben teilweise zähen nebelfeldern eine trockene mischung aus sonne und wolken,am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer,richtung südosten noch eine mischung aus nebel wolken und sonne,am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken,0.9065935,0.8967476,0.89366734,0.8924455,0.8918091,14August_2009_Friday_tagesschau-73,14August_2009_Friday_tagesschau-73/1/*.png,-1.0,-1.0,Signer05,SONNTAG NAECHSTE NORDWEST WOLKE SONNE WOLKE GEWITTER REGEN DABEI,am sonntag im nordwesten eine mischung aus sonne und wolken mit einigen zum teil gewittrigen schauern,NORDWEST MORGEN WECHSEL SONNE WOLKE DAZU STARK REGEN NACH MITTAG GEWITTER,REGION SUEDOST HAUPTSAECHLICH BEWOELKT TROCKEN SONNE WOLKE,TAG WEST FREUNDLICH SONST SONNE WOLKE WECHSELHAFT MAL SCHAUER,KOMMEN MISCHUNG NEBEL WOLKE SONNE,MITTWOCH MISCHUNG WOLKE NEBEL NORDWEST BISSCHEN SCHAUER REGION TROCKEN,5,2,2,2,2
örtlich schauer oder gewitter die heftig sein können,vielerorts gibt es schauer und gewitter die heftig ausfallen können,dabei kommt es zu heftigen schauern und gewittern die teilweise unwetterartig sein können,besonders in der südhälfte gibt es nebel oder hochnebel der sich morgen wieder teilweise zäh halten kann,die schwüle hitze in dem noch etwas zu und die gewitter können lokal unwetterartig sein,am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können,0.9018401,0.8694161,0.8601071,0.8516242,0.8350847,14August_2009_Friday_tagesschau-75,14August_2009_Friday_tagesschau-75/1/*.png,-1.0,-1.0,Signer05,WAHRSCHEINLICH SCHAUER GEWITTER STARK,örtlich schauer oder gewitter die heftig sein können,SCHAUER GEWITTER STARK KUEHL,MORGEN KOENNEN REGEN GEWITTER UNWETTER KOENNEN,SUED VIEL NEBEL HOCH NEBEL MORGEN STARK NEBEL,HEUTE FEUCHT WARM HEISS ENORM MOEGLICH GEWITTER AUCH STARK,SONNTAG WIEDER WECHSELHAFT SCHAUER GEWITTER ORT STARK,3,1,1,2,3
in den nächsten tagen geht es auf jeden fall winterlich weiter immer wieder mal mit etwas schnee,am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee,ganz im norden fällt hier und da schnee,deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee,am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein,am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig,0.8844571,0.8798448,0.8762962,0.8727573,0.87249976,26January_2010_Tuesday_heute-105,26January_2010_Tuesday_heute-105/1/*.png,-1.0,-1.0,Signer03,IM-VERLAUF BLEIBEN KALT ENORM SCHNEE KOENNEN,in den nächsten tagen geht es auf jeden fall winterlich weiter immer wieder mal mit etwas schnee,SONNTAG VIEL WOLKE IX REGEN IX UND SCHNEE BERG KOENNEN SCHNEE,NORD IX SCHNEE KOENNEN,DEUTSCH LAND TIEF DRUCK KOMMEN IM-VERLAUF TAG BEWOELKT BISSCHEN REGEN SCHNEE SCHNEIEN,WOCHENENDE MEHR WARM WETTER WECHSELHAFT GEWITTER UND SONNE DABEI,SAMSTAG VIEL SONNE BESONDERS ALPEN KUESTE WOLKE KOENNEN,2,2,2,0,1
und zum wochenende wird es dann sogar wieder ein bisschen kälter,ja der donnerstag wird fast noch schöner noch ein bisschen wärmer,am wochenende scheint meist die sonne und es wird noch wärmer,danach wird es nur etwas kühler,am nachmittag wird es dann freundlicher,aber ab dienstag wird es langsam wieder freundlicher und wärmer,0.9151299,0.9025149,0.89292353,0.8905697,0.8727119,26January_2010_Tuesday_heute-106,26January_2010_Tuesday_heute-106/1/*.png,-1.0,-1.0,Signer03,WOCHENENDE IX MEHR KALT,und zum wochenende wird es dann sogar wieder ein bisschen kälter,DONNERSTAG MEHR SCHOEN MEHR WARM,WOCHENENDE HAUPTSAECHLICH SONNE HIMMEL SCHOEN MEHR WARM,ABER BISSCHEN KUEHL REDUZIEREN,NACH MITTAG MEHR FREUNDLICH,AB DIENSTAG IN-KOMMEND LANGSAM WIEDER ZURUECK FREUNDLICH WARM,1,2,0,1,0
auch morgen erwartet uns eine ruhige herbstmischung aus hochnebel wolken und sonne,morgen scheint dann wieder überall die sonne,das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen,und so erwartet uns eine mischung aus teilweise zähen nebelfeldern wolken und sonnenschein,nach dessen auflösung scheint morgen verbreitet die sonne,unter wolken heute nacht frostfreie zwei bis acht grad,0.8856203,0.8844148,0.87947106,0.87840366,0.8781077,01November_2010_Monday_tagesschau-133,01November_2010_Monday_tagesschau-133/1/*.png,-1.0,-1.0,Signer05,MORGEN DANN HERBST MISCHUNG HOCH NEBEL WOLKE SONNE,auch morgen erwartet uns eine ruhige herbstmischung aus hochnebel wolken und sonne,MORGEN UEBERWIEGEND SONNE,KOMMEN KRAEFTIG WAS WOCHENENDE VIEL SONNE TEMPERATUR STEIGEN,MISCHUNG NEBEL AUFLOESEN DANN WOLKE SONNE,ZONE AUFLOESEN MORGEN MEISTENS SONNE,WOLKE DAS-IST-ES NACHT ZWEI BIS ACHT neg-HABEN FROST,2,1,5,2,1
