Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar	am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich	ganz im norden fällt hier und da schnee	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	der sorgt wieder für wolken die regen im bergland auch schnee bringen	am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken	0.91112125	0.90986127	0.89030707	0.88750535	0.8841732
am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	ähnliches wetter auch am donnerstag	ähnliches wetter auch am donnerstag	am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter	0.88600856	0.8837504	0.88332754	0.88332754	0.88163936
vom nordmeer zieht ein kräftiges tief heran und bringt uns ab den morgenstunden heftige schneefälle zum teil auch gefrierenden regen	von westen erreicht uns ein neues atlantiktief mit zum teil kräftigen regenfällen und heftigen gewittern	atlantische tiefausläufer bringen uns die ganze woche über regenfälle und zum teil stürmische winde	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	und vor allem im nordwesten kann die sonne rauskommen bei einem frischen nord bis nordostwind	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	0.90614927	0.88413334	0.8817607	0.8714528	0.8708209
sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken	am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich	morgen gibt es zum teil dichte wolken oder nebel aber auch sonne vor allem im süden	und etwas kälter wird es dann im laufe des sonntags von osten	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	0.9153241	0.9117982	0.91146064	0.910647	0.9083091
deutschland liegt morgen unter hochdruckeinfluss der die wolken weitgehend vertreibt	über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert	und das mit tief ophelia das die kaltluft mit kräftigen schauern richtung mitteleuropa treibt	in den kommenden tagen bestimmt das tief über osteuropa unser wetter die kühle luft bleibt uns zunächst erhalten	deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	0.8699459	0.85963786	0.85109645	0.8497005	0.8440961
am sonntag im nordwesten eine mischung aus sonne und wolken mit einigen zum teil gewittrigen schauern	in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	im osten und südosten neben teilweise zähen nebelfeldern eine trockene mischung aus sonne und wolken	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	richtung südosten noch eine mischung aus nebel wolken und sonne	am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken	0.9065935	0.8967476	0.89366734	0.8924455	0.8918091
örtlich schauer oder gewitter die heftig sein können	vielerorts gibt es schauer und gewitter die heftig ausfallen können	dabei kommt es zu heftigen schauern und gewittern die teilweise unwetterartig sein können	besonders in der südhälfte gibt es nebel oder hochnebel der sich morgen wieder teilweise zäh halten kann	die schwüle hitze in dem noch etwas zu und die gewitter können lokal unwetterartig sein	am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können	0.9018401	0.8694161	0.8601071	0.8516242	0.8350847
in den nächsten tagen geht es auf jeden fall winterlich weiter immer wieder mal mit etwas schnee	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	ganz im norden fällt hier und da schnee	deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	0.8844571	0.8798448	0.8762962	0.8727573	0.87249976
und zum wochenende wird es dann sogar wieder ein bisschen kälter	ja der donnerstag wird fast noch schöner noch ein bisschen wärmer	am wochenende scheint meist die sonne und es wird noch wärmer	danach wird es nur etwas kühler	am nachmittag wird es dann freundlicher	aber ab dienstag wird es langsam wieder freundlicher und wärmer	0.9151299	0.9025149	0.89292353	0.8905697	0.8727119
auch morgen erwartet uns eine ruhige herbstmischung aus hochnebel wolken und sonne	morgen scheint dann wieder überall die sonne	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	und so erwartet uns eine mischung aus teilweise zähen nebelfeldern wolken und sonnenschein	nach dessen auflösung scheint morgen verbreitet die sonne	unter wolken heute nacht frostfreie zwei bis acht grad	0.8856203	0.8844148	0.87947106	0.87840366	0.8781077
